period_id,frame_idx,game_clock,wall_clock,live,last_touch_team_id,team_id,player_id,player_number,speed,x,y,z,ball_x,ball_y,ball_z,ball_speed
1,2,0.08,1649524084094,True,6900,1207,451375,40,1.56,-5.45,11.42,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,1207,442451,20,1.18,-17.0,-5.34,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,1207,229903,99,0.49,-1.15,-17.11,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,1207,464785,31,0.74,-12.04,-1.19,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,1207,244766,22,0.59,-16.78,3.3,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,1207,471798,1,0.56,-49.31,0.01,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,1207,107091,11,1.67,-0.0,9.22,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,1207,169707,30,0.52,-6.64,-6.33,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,1207,119644,2,0.63,-16.24,-19.2,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,1207,427869,14,1.02,-15.66,15.44,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,6900,246099,2,0.37,14.03,22.89,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,6900,85601,6,0.18,20.03,-3.88,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,6900,194730,8,0.45,14.36,-0.7,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,6900,430360,9,0.55,-0.25,0.24,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,6900,474038,17,1.84,1.34,-23.22,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,6900,443002,4,0.83,18.05,-17.09,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,6900,45215,7,0.87,0.29,15.79,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,6900,174577,1,0.25,49.4,0.26,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,6900,489381,5,0.35,10.93,6.39,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,6900,421184,15,0.44,21.31,11.66,0.0,0.88,-0.03,0.18,13.0
1,2,0.08,1649524084094,True,6900,6900,78103,10,0.73,5.85,-8.22,0.0,0.88,-0.03,0.18,13.0
1,3,0.12,1649524084134,True,6900,1207,41700,3,0.76,-3.66,21.61,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,1207,451375,40,1.71,-5.39,11.43,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,1207,229903,99,0.58,-1.14,-17.1,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,1207,442451,20,1.18,-17.01,-5.38,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,1207,464785,31,0.8,-12.03,-1.17,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,1207,244766,22,0.65,-16.78,3.33,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,1207,471798,1,0.51,-49.29,0.01,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,1207,107091,11,1.91,0.05,9.18,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,1207,169707,30,0.56,-6.63,-6.32,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,1207,119644,2,0.68,-16.23,-19.22,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,1207,427869,14,1.08,-15.66,15.48,0.0,1.45,-0.07,0.19,12.99
1,3,0.12,1649524084134,True,6900,6900,246099,2,0.45,14.01,22.9,0.0,1.45,-0.07,0.19,12.99
